Student_ID,Name,University_ID,Year_level,Degree_level,Degree_program
112000000,杜銘勝,0,4,學士,EECS
112000001,王建民,0,1,碩士,STAT
112000002,陳志宏,0,1,博士,EE
112000003,林嘉豪,0,3,學士,IPT
112000004,張雅婷,1,2,碩士,STAT
112000005,黃心怡,1,1,學士,COM
112000006,李孟潔,1,4,學士,EECS
112000007,吳柏宇,1,1,碩士,COM
112000008,蔡欣儀,2,2,博士,STAT
112000009,劉曉彤,2,1,碩士,EE
112000010,楊宗翰,2,2,學士,IPT
112000011,許家豪,2,1,學士,ENE
112000012,鄭美玲,3,2,碩士,ENE
112000013,謝文傑,3,1,碩士,IIS
112000014,郭雅涵,3,1,博士,EECS
112000015,洪世傑,3,3,學士,ENE
112000016,徐麗華,3,2,碩士,NEMS
112000017,曾志偉,3,2,學士,NEMS
112000018,彭佳蓉,4,1,碩士,EE
112000019,賴威廷,4,1,碩士,ENE
112000020,游思婷,4,4,學士,IIS
112000021,周偉哲,4,1,學士,STAT
112000022,葉怡君,4,2,博士,EECS
112000023,蘇志銘,4,2,碩士,EE
112000024,呂淑華,5,3,學士,ISA
112000025,鍾宏志,5,1,碩士,EECS
112000026,詹美惠,5,2,學士,EECS
112000027,簡俊傑,5,1,碩士,ENE
112000028,楊欣欣,5,1,博士,IIS
112000029,侯雅雯,5,4,學士,NEMS
112000030,邱建廷,6,2,碩士,NEMS
112000031,高志豪,6,1,學士,NEMS
112000032,張宛如,6,2,學士,IPT
112000033,王詩涵,6,2,碩士,ISA
112000034,李國輝,6,1,碩士,ENE
112000035,鄧雅筑,6,3,學士,EECS
112000036,黃志雄,7,2,博士,IIS
112000037,吳佳穎,7,4,學士,ISA
112000038,何宗憲,7,1,碩士,CS
112000039,羅文君,7,2,碩士,ISA
112000040,胡慧君,7,1,學士,NEMS
112000041,林世昌,7,4,學士,EECS
112000042,陳彥廷,8,1,博士,CS
112000043,許麗真,8,2,學士,NEMS
112000044,李佳柔,8,1,碩士,EE
112000045,吳明翰,8,2,碩士,COM
112000046,洪詠晴,8,3,學士,NEMS
112000047,謝佩芬,8,1,碩士,STAT
112000048,蔡偉豪,9,2,博士,STAT
112000049,劉明哲,9,1,學士,COM
112000050,張志豪,9,2,學士,STAT
112000051,邱嘉玲,10,1,碩士,ISA
112000052,王欣儀,10,2,碩士,ENE
112000053,楊淑敏,10,1,博士,IIS
112000054,陳家豪,11,4,學士,ISA
112000055,林俊廷,11,1,碩士,CS
112000056,徐慧珍,11,3,學士,EE
112000057,李雅涵,12,1,學士,NEMS
112000058,吳建志,12,1,碩士,ISA
112000059,鄭佳宜,12,2,碩士,IPT
112000060,黃俊傑,13,3,學士,ENE
112000061,劉世偉,13,2,博士,COM
112000062,張淑娟,13,1,碩士,EE
112000063,林志成,14,4,學士,CS
112000064,曾麗婷,14,1,碩士,CS
112000065,楊俊哲,14,1,博士,IIS
112000066,蔡宗翰,15,2,學士,IIS
112000067,黃美華,15,2,碩士,IIS
112000068,劉佳蓉,15,1,學士,COM
112000069,陳志偉,16,1,碩士,ISA
112000070,許明華,16,2,碩士,STAT
112000071,呂佳豪,16,2,博士,IPT
112000072,李柏翰,17,4,學士,COM
112000073,吳麗芬,17,3,學士,IPT
112000074,郭欣怡,17,1,碩士,IIS
112000075,張文傑,18,1,碩士,NEMS
112000076,林偉哲,18,1,博士,COM
112000077,周佩珊,18,2,學士,EECS
112000078,鄭志宏,19,2,碩士,COM
112000079,洪嘉豪,19,1,學士,CS
112000080,王宗翰,19,2,學士,NEMS
112000081,吳美慧,20,1,碩士,NEMS
112000082,徐威廷,20,1,碩士,EECS
112000083,黃俊賢,20,2,博士,EECS
112000084,李欣儀,20,3,學士,ENE
112000085,許佳穎,21,2,碩士,EE
112000086,楊志豪,21,4,學士,EE
112000087,詹佩玲,21,2,碩士,ENE
112000088,劉明翰,21,1,碩士,EE
112000089,林建志,21,1,學士,ENE
112000090,鄧慧君,21,1,博士,IPT
112000091,洪志成,22,3,學士,IPT
112000092,蔡文傑,22,1,碩士,EE
112000093,謝家豪,22,2,學士,STAT
112000094,劉偉哲,22,2,碩士,IIS
112000095,陳欣怡,22,2,博士,IPT
112000096,陳宜欣,22,4,學士,CS
112000097,曾恩傑,23,1,碩士,IPT
112000098,楊真珠,23,1,學士,CS
112000099,高立恆,23,2,碩士,NEMS
112000100,蕭澤然,23,1,碩士,COM
